t_s,RPM,theta_mech_rad,theta_e_deg_true,theta_e_deg_hall_est,HA,HB,HC,HallState
0.15,194.70735367683835,7.6604372100472755,103.66082041020309,60.0,1,0,0,1
0.1501,194.31715857928964,7.662472094573474,105.4096748374177,60.0,1,0,0,1
0.1502,193.9269634817408,7.664502892986165,107.15501750875319,60.0,1,0,0,1
0.15030000000000002,193.5367683841921,7.6665296052853495,108.89684842421138,60.0,1,0,0,1
0.1504,193.14657328664327,7.668552231471027,110.63516758379137,60.0,1,0,0,1
0.1505,192.75637818909456,7.670570771543199,112.36997498749315,60.0,1,0,0,1
0.1506,192.36618309154574,7.672585225501863,114.10127063531672,60.0,1,0,0,1
0.1507,191.97598799399702,7.674595593347022,115.829054527263,60.0,1,0,0,1
0.15080000000000002,191.5857928964482,7.676601875078674,117.55332666333106,60.0,1,0,0,1
0.1509,191.19559779889937,7.67860407069682,119.27408704352092,60.0,1,0,0,1
0.151,190.80540270135066,7.680602180201459,120.99133566783257,120.0,1,1,0,3
0.1511,190.41520760380183,7.682596203592592,122.70507253626693,120.0,1,1,0,3
0.1512,190.02501250625312,7.684586140870219,124.41529764882307,120.0,1,1,0,3
0.15130000000000002,189.6348174087043,7.686571992034339,126.12201100550192,120.0,1,1,0,3
0.1514,189.24462231115558,7.688553757084953,127.82521260630256,120.0,1,1,0,3
0.1515,188.85442721360675,7.69053143602206,129.524902451225,120.0,1,1,0,3
0.1516,188.46423211605804,7.692505028845662,131.22108054027012,120.0,1,1,0,3
0.1517,188.07403701850922,7.694474535555755,132.91374687343523,120.0,1,1,0,3
0.15180000000000002,187.6838419209605,7.696439956152344,134.60290145072486,120.0,1,1,0,3
0.1519,187.29364682341168,7.698401290635425,136.28854427213446,120.0,1,1,0,3
0.152,186.90345172586285,7.700358539004999,137.97067533766767,120.0,1,1,0,3
0.1521,186.51325662831414,7.702311701261068,139.64929464732177,120.0,1,1,0,3
0.1522,186.1230615307653,7.70426077740363,141.32440220109856,120.0,1,1,0,3
0.15230000000000002,185.7328664332166,7.706205767432687,142.99599799899806,120.0,1,1,0,3
0.1524,185.34267133566777,7.708146671348236,144.66408204101936,120.0,1,1,0,3
0.1525,184.95247623811906,7.710083489150279,146.32865432716244,120.0,1,1,0,3
0.1526,184.56228114057024,7.712016220838816,147.98971485742732,120.0,1,1,0,3
0.1527,184.17208604302152,7.713944866413846,149.6472636318158,120.0,1,1,0,3
0.15280000000000002,183.7818909454727,7.715869425875369,151.30130065032336,120.0,1,1,0,3
0.1529,183.39169584792398,7.717789899223387,152.95182591295543,120.0,1,1,0,3
0.153,183.00150075037516,7.719706286457897,154.59883941970838,120.0,1,1,0,3
0.1531,182.61130565282633,7.721618587578902,156.24234117058404,120.0,1,1,0,3
0.1532,182.22111055527762,7.723526802586401,157.8823311655815,120.0,1,1,0,3
0.15330000000000002,181.8309154577288,7.725430931480393,159.51880940470164,120.0,1,1,0,3
0.1534,181.44072036018008,7.7273309742608784,161.1517758879436,120.0,1,1,0,3
0.1535,181.05052526263125,7.729226930927856,162.7812306153064,120.0,1,1,0,3
0.15360000000000001,180.66033016508254,7.73111880148133,164.40717358679285,120.0,1,1,0,3
0.1537,180.27013506753372,7.733006585921295,166.02960480240108,120.0,1,1,0,3
0.15380000000000002,179.879939969985,7.734890284247755,167.6485242621302,120.0,1,1,0,3
0.1539,179.48974487243618,7.736769896460707,169.2639319659811,120.0,1,1,0,3
0.154,179.09954977488746,7.738645422560155,170.87582791395653,120.0,1,1,0,3
0.15410000000000001,178.70935467733864,7.7405168625460945,172.48421210605193,120.0,1,1,0,3
0.1542,178.3191595797898,7.742384216418528,174.08908454226912,120.0,1,1,0,3
0.15430000000000002,177.9289644822411,7.744247484177456,175.69044522261083,120.0,1,1,0,3
0.1544,177.53876938469227,7.746106665822877,177.28829414707252,120.0,1,1,0,3
0.1545,177.14857428714356,7.747961761354792,178.8826313156569,120.0,1,1,0,3
0.15460000000000002,176.75837918959473,7.7498127707732,180.4734567283631,180.0,0,1,0,2
0.1547,176.36818409204602,7.751659694078103,182.06077038519197,180.0,0,1,0,2
0.15480000000000002,175.9779889944972,7.753502531269497,183.64457228614083,180.0,0,1,0,2
0.1549,175.58779389694848,7.755341282347386,185.2248624312142,180.0,0,1,0,2
0.155,175.19759879939966,7.757175947311769,186.80164082040938,180.0,0,1,0,2
0.15510000000000002,174.80740370185094,7.759006526162644,188.37490745372452,180.0,0,1,0,2
0.1552,174.41720860430212,7.760833018900015,189.94466233116418,180.0,0,1,0,2
0.1553,174.0270135067533,7.762655425523878,191.51090545272564,180.0,0,1,0,2
0.1554,173.63681840920458,7.764473746034236,193.0736368184089,180.0,0,1,0,2
0.1555,173.24662331165575,7.766287980431086,194.63285642821302,180.0,0,1,0,2
0.15560000000000002,172.85642821410704,7.76809812871443,196.18856428214076,180.0,0,1,0,2
0.1557,172.46623311655821,7.769904190884268,197.7407603801903,180.0,0,1,0,2
0.1558,172.0760380190095,7.771706166940599,199.2894447223607,180.0,0,1,0,2
0.1559,171.68584292146068,7.773504056883423,200.83461730865383,180.0,0,1,0,2
0.156,171.29564782391196,7.775297860712742,202.37627813906965,180.0,0,1,0,2
0.15610000000000002,170.90545272636314,7.777087578428553,203.91442721360545,180.0,0,1,0,2
0.1562,170.51525762881442,7.778873210030858,205.44906453226486,180.0,0,1,0,2
0.1563,170.1250625312656,7.780654755519659,206.98019009504696,180.0,0,1,0,2
0.1564,169.7348674337169,7.782432214894951,208.50780390194996,180.0,0,1,0,2
0.1565,169.34467233616806,7.784205588156738,210.03190595297565,180.0,0,1,0,2
0.15660000000000002,168.95447723861923,7.785974875305017,211.55249624812404,180.0,0,1,0,2
0.1567,168.56428214107052,7.787740076339791,213.06957478739332,180.0,0,1,0,2
0.1568,168.1740870435217,7.789501191261057,214.5831415707844,180.0,0,1,0,2
0.1569,167.78389194597298,7.791258220068818,216.09319659829907,180.0,0,1,0,2
0.157,167.39369684842416,7.793011162763072,217.59973986993464,180.0,0,1,0,2
0.15710000000000002,167.00350175087544,7.79476001934382,219.102771385692,180.0,0,1,0,2
0.1572,166.61330665332662,7.796504789811061,220.60229114557114,180.0,0,1,0,2
0.1573,166.2231115557779,7.798245474164795,222.098299149573,180.0,0,1,0,2
0.1574,165.83291645822908,7.799982072405024,223.59079539769755,180.0,0,1,0,2
0.1575,165.44272136068037,7.801714584531746,225.0797798899439,180.0,0,1,0,2
0.15760000000000002,165.05252626313154,7.803443010544962,226.56525262631203,180.0,0,1,0,2
0.1577,164.6623311655827,7.805167350444671,228.04721360680196,180.0,0,1,0,2
0.1578,164.272136068034,7.806887604230874,229.5256628314146,180.0,0,1,0,2
0.1579,163.88194097048518,7.80860377190357,231.00060030014902,180.0,0,1,0,2
0.158,163.49174587293646,7.81031585346276,232.47202601300614,180.0,0,1,0,2
0.15810000000000002,163.10155077538764,7.812023848908443,233.93993996998324,180.0,0,1,0,2
0.1582,162.71135567783892,7.81372775824062,235.40434217108395,180.0,0,1,0,2
0.1583,162.3211605802901,7.815427581459291,236.86523261630646,180.0,0,1,0,2
0.1584,161.93096548274139,7.817123318564455,238.32261130565166,180.0,0,1,0,2
0.1585,161.54077038519256,7.818814969556114,239.77647823911866,180.0,0,1,0,2
0.15860000000000002,161.15057528764385,7.820502534434265,241.22683341670745,240.0,0,1,1,6
0.1587,160.76038019009502,7.822186013198911,242.67367683841803,240.0,0,1,1,6
0.1588,160.3701850925462,7.823865405850049,244.11700850425223,240.0,0,1,1,6
0.1589,159.97998999499748,7.8255407123876815,245.5568284142064,240.0,0,1,1,6
0.159,159.58979489744866,7.827211932811807,246.99313656828326,240.0,0,1,1,6
0.15910000000000002,159.19959979989994,7.8288790671224255,248.42593296648192,240.0,0,1,1,6
0.1592,158.80940470235112,7.830542115319538,249.8552176088033,240.0,0,1,1,6
0.1593,158.4192096048024,7.832201077403145,251.28099049524644,240.0,0,1,1,6
0.15940000000000001,158.02901450725358,7.833855953373245,252.7032516258114,240.0,0,1,1,6
0.1595,157.63881940970487,7.835506743229839,254.12200100049904,240.0,0,1,1,6
0.15960000000000002,157.24862431215604,7.837153446972926,255.53723861930848,240.0,0,1,1,6
0.1597,156.85842921460733,7.838796064602507,256.9489644822397,240.0,0,1,1,6
0.1598,156.4682341170585,7.840434596118581,258.35717858929274,240.0,0,1,1,6
